Timestamp,Air_Temp,Relative_Humidity,Solar_Radiation,RTD,Array_Voltage,Array_Current,Power_Generated
00:00.0,16.335964,92.397792,0.22435,25.03425859,2.64077,5.399288,14.258278
05:00.0,16.28964,92.69344,0.327011,24.96569848,2.645897,5.399017,14.285242
10:00.0,16.285664,93.123816,0.277451,24.94485904,2.660332,5.398926,14.362932
15:00.0,16.28172,93.11928,0.376572,25.00331765,2.148491,5.399197,11.600126
20:00.0,16.244652,93.557512,0.479233,24.97931909,2.066124,5.399017,11.155038
25:00.0,16.200954,94.005896,0.479233,24.8885526,2.067101,5.399105,11.160494
30:00.0,16.134762,94.304432,0.629684,24.86047273,2.071251,5.398926,11.18253
35:00.0,16.134762,94.302872,0.730576,24.8513634,2.093895,5.398745,11.304406
40:00.0,16.108274,94.596576,0.730576,24.95538264,2.135124,5.398565,11.526608
45:00.0,16.120158,94.595008,0.730576,25.04515232,2.192772,5.398745,11.838218
50:00.0,16.130768,94.883872,0.780136,25.21150297,2.186577,5.398565,11.804378
55:00.0,16.149658,95.207816,0.096466,25.29948297,2.28455,5.400587,12.33791
00:00.0,16.127148,95.361088,0.096466,25.3767139,2.143528,5.400499,11.57612
05:00.0,16.050316,94.91016,0.197357,25.15674787,2.059055,5.400678,11.120296
10:00.0,15.936356,95.057576,0.045136,24.95106031,2.008579,5.400859,10.848052
15:00.0,15.8701,95.355032,0.096466,24.78576411,2.074528,5.400859,11.20423
20:00.0,15.803818,95.353568,0.105316,24.72565538,2.057011,5.400499,11.108884
25:00.0,15.76666,95.494592,0.105316,24.6598596,2.070377,5.400587,11.181252
30:00.0,15.746792,95.643176,0.257538,24.61845135,2.058048,5.400499,11.114488
35:00.0,15.656668,95.6462,0.358429,24.48805319,2.045689,5.400318,11.04737
40:00.0,15.574352,96.077544,0.307098,24.3678165,2.015812,5.400499,10.88639
45:00.0,15.51997,96.527352,0.40799,24.24893413,2.030216,5.400047,10.963264
50:00.0,15.450938,96.809624,0.560211,24.11692599,2.019932,5.400227,10.90809
55:00.0,15.356668,97.100792,0.761993,24.03537067,2.021977,5.400135,10.918946
00:00.0,15.409792,96.983232,0.166161,24.05350083,2.04631,5.401757,11.05367
05:00.0,15.326144,97.121168,0.067039,23.97892242,2.056625,5.401308,11.108466
10:00.0,15.26903,97.268144,0.134743,23.89522967,2.041153,5.401488,11.025264
15:00.0,15.246444,97.118144,0.336525,23.87763391,2.059708,5.401216,11.124926
20:00.0,15.231858,96.963504,0.488747,23.89118353,2.054581,5.401308,11.097424
25:00.0,15.193288,97.109064,0.540077,23.7884031,2.05867,5.400951,11.118776
30:00.0,15.12819,97.83416,0.336525,23.72382077,2.08342,5.401131,11.252824
35:00.0,15.051132,98.27688,0.741859,23.71559282,2.089584,5.400951,11.285744
40:00.0,14.997886,98.429376,0.640968,23.72357276,2.15242,5.400951,11.625116
45:00.0,15.15687,98.44944,0.248909,23.865286,2.197828,5.402422,11.873596
50:00.0,15.110348,98.295432,0.098457,24.00916787,2.21324,5.40233,11.956652
55:00.0,15.143604,98.145872,0.148018,24.16339666,2.216322,5.40233,11.973302
00:00.0,15.142252,97.994848,0.105095,24.2305529,2.145277,5.402062,11.58892
05:00.0,15.136924,97.999392,0.053764,24.16616474,2.082472,5.402422,11.250392
10:00.0,15.1329,97.984256,0.047127,24.01938657,2.050551,5.40233,11.07775
15:00.0,15.094412,98.002376,0.053764,23.8683309,2.069044,5.402422,11.17785
20:00.0,15.049228,98.000856,0.004204,23.72313166,2.064955,5.402422,11.155756
25:00.0,15.008004,98.000856,0.105095,23.63908647,2.061873,5.402062,11.138362
30:00.0,14.981362,98.142896,0.306877,23.59349126,2.068037,5.402242,11.172036
35:00.0,14.953436,97.988792,0.306877,23.57652452,2.074232,5.401882,11.204758
40:00.0,14.941492,97.69392,0.508659,23.54878832,2.072157,5.40179,11.193358
45:00.0,14.966778,97.5532,0.55822,23.54273546,2.077284,5.40161,11.220678
50:00.0,14.980042,97.406376,0.55822,23.53793615,2.073195,5.401699,11.198772
55:00.0,14.953436,97.39876,0.459099,23.54943776,2.072157,5.40179,11.193358
00:00.0,14.970788,97.548664,0.710442,23.5691961,2.07115,5.40161,11.187544
05:00.0,14.953436,97.690896,0.609551,23.54087941,2.078322,5.401519,11.226092
10:00.0,14.918892,97.979712,0.710442,23.52736602,2.061873,5.401519,11.137242
15:00.0,14.902892,97.9782,0.660881,23.55471593,2.076277,5.40143,11.214864
20:00.0,14.91503,98.303648,0.210632,23.52353509,2.073999,5.40325,11.206336
25:00.0,14.85116,98.60248,0.161072,23.44228117,2.080164,5.40343,11.24002
30:00.0,14.797978,98.752968,0.111511,23.42360961,2.06988,5.402981,11.18352
35:00.0,14.83384,98.896912,0.210632,23.37803885,2.06988,5.40289,11.18333
40:00.0,14.771322,99.219176,0.060181,23.31648971,2.115229,5.403161,11.428922
45:00.0,14.696784,99.767712,0.143372,23.21966059,2.117273,5.402529,11.438632
50:00.0,14.671562,100.05142,0.143372,23.18955029,2.118281,5.402801,11.444648
55:00.0,14.640916,100.3499,0.192932,23.16728976,2.118281,5.402981,11.445028
00:00.0,14.628926,100.60898,0.292053,23.1734182,2.117273,5.40307,11.439776
05:00.0,14.631596,100.48998,0.242493,23.18177932,2.105951,5.403161,11.378794
10:00.0,14.599632,100.63306,0.345154,23.15079442,2.118281,5.40325,11.445598
15:00.0,14.559634,101.06636,0.345154,23.10921835,2.149195,5.40271,11.611476
20:00.0,14.54103,100.92342,0.394714,23.09617081,2.241846,5.402353,12.111242
25:00.0,14.531678,101.0603,0.495605,23.05332581,2.475397,5.402529,13.373406
30:00.0,14.544988,100.91596,0.646057,23.04517392,3.444483,5.402258,18.607982
35:00.0,14.519704,100.91596,0.546936,22.97458875,6.935297,5.402529,37.468144
40:00.0,14.531678,101.05732,0.495605,22.97257278,15.688104,5.402081,84.7484
45:00.0,14.513056,101.04828,0.495605,22.9082514,39.662468,5.401993,214.25634
50:00.0,14.513056,101.63686,0.090271,22.87792498,51.462488,5.402172,278.00922
55:00.0,14.537868,101.95436,1.273087,22.86403162,51.491248,5.403135,278.21418
00:00.0,14.488602,102.85364,2.181107,22.82683167,51.513068,5.403315,278.34134
05:00.0,14.459262,103.30974,4.859146,22.87960829,51.633004,5.402952,278.97062
10:00.0,13.913714,103.69772,8.291214,24.0859123,51.850808,5.402772,280.1381
15:00.0,14.448606,104.14812,14.902238,22.8365514,51.812692,5.403135,279.95096
20:00.0,14.107284,104.73908,21.808854,23.78209199,52.476448,5.402684,283.51364
25:00.0,13.677354,105.16906,31.129776,24.95027736,52.666176,5.402232,284.5149
30:00.0,13.626552,105.1361,39.298416,25.2255836,53.577768,5.402052,289.42984
35:00.0,13.717438,104.39318,49.196364,26.26037651,53.245184,5.401512,287.6045
40:00.0,13.534398,104.67014,57.520768,27.2820505,54.21586,5.400968,292.81812
45:00.0,13.45547,104.3783,65.13362,27.47673754,53.556068,5.4016,289.28846
50:00.0,13.645314,104.3738,73.245624,25.41238163,53.440468,5.402143,288.69306
55:00.0,13.389948,104.3738,82.856824,28.81146634,53.942176,5.402504,291.4228
00:00.0,17.128644,103.4289,89.712552,28.50781004,53.673272,5.403122,290.0032
05:00.0,17.307112,102.95488,79.435824,28.54594623,53.435752,5.403122,288.71984
10:00.0,17.651584,103.83476,64.962372,28.1865744,53.163568,5.403845,287.28762
15:00.0,17.415214,103.59516,78.42868,28.91064823,53.223288,5.403665,287.6008
20:00.0,17.304404,103.25644,78.982696,29.01688936,53.404108,5.404205,288.60672
25:00.0,17.657358,103.37024,73.63812,28.85658947,53.10322,5.402513,286.8908
30:00.0,17.342852,103.10632,82.054568,28.85535444,53.257944,5.401704,287.68362
35:00.0,17.03346,104.78626,123.83588,30.18614607,53.505592,5.402064,289.04062
40:00.0,17.298308,104.65432,132.95148,31.00590799,54.233956,5.402424,292.99482
45:00.0,17.202404,103.59796,141.65466,31.55684099,53.88096,5.401792,291.05374
50:00.0,17.629018,102.32214,149.49762,32.16283685,54.636544,5.403056,295.20428
55:00.0,17.375268,102.0362,163.30732,33.07801962,54.884376,5.402153,296.49378
00:00.0,17.2792,101.58808,129.25258,31.19787504,54.23204,5.401421,292.93006
05:00.0,16.762214,101.68426,156.70558,33.40871537,55.397048,5.400518,299.17272
10:00.0,16.369872,101.40946,177.87324,33.5343373,56.022996,5.400609,302.55828
15:00.0,16.577578,100.08362,180.42738,33.89273861,56.357436,5.400609,304.36448
20:00.0,17.01546,98.880736,169.10102,33.84392302,55.915512,5.401058,302.0029
25:00.0,16.791852,99.382984,182.1797,34.0712189,56.147356,5.401241,303.26538
30:00.0,19.33828,97.6928,211.25626,34.81610403,58.04036,5.396868,313.23612
35:00.0,19.25795,96.999104,251.49588,35.64743829,58.389632,5.397048,315.13162
40:00.0,18.93113,96.65164,271.4564,37.05327439,58.634812,5.396236,316.40728
45:00.0,19.734026,95.709744,301.30246,37.91766368,59.141984,5.396868,319.18142
50:00.0,19.940888,94.424272,264.99826,39.28643932,58.974824,5.393451,318.07782
55:00.0,20.00358,93.85152,300.78274,39.17403434,58.769288,5.393723,316.98522
00:00.0,19.869614,94.998896,316.19232,39.58455861,59.326308,5.391915,319.88238
05:00.0,20.12319,94.483616,303.09064,39.56875845,59.466476,5.392818,320.6919
10:00.0,20.023716,92.851384,347.85444,48.22896971,89.599624,5.384975,482.49172
15:00.0,20.263104,88.965968,278.182,42.60077417,59.019776,5.391187,318.18662
20:00.0,20.358504,89.688472,342.40056,46.25589661,61.902772,5.389063,333.5979
25:00.0,20.188136,91.312104,442.6102,48.27085314,64.703248,5.387985,348.62016
30:00.0,13.727276,89.652968,473.68068,51.78326284,63.487204,5.391153,342.2692
35:00.0,20.872562,86.052776,371.81648,50.53422553,61.31942,5.387243,330.3426
40:00.0,22.023034,83.5624,368.02708,55.61322499,64.607392,5.385895,347.9686
45:00.0,22.579078,86.079592,450.57728,54.43914664,62.301788,5.386347,335.579
50:00.0,25.320958,82.632864,561.63008,43.69383107,56.884888,5.394364,306.85776
55:00.0,25.420028,81.758112,913.21792,41.81893396,57.561036,5.395447,310.5675
00:00.0,24.412824,84.006056,369.27144,44.35710542,55.295348,5.393555,298.2385
05:00.0,18.42835,83.871528,565.57872,41.41013861,56.19738,5.38851,302.8201
10:00.0,18.366242,81.970112,460.3918,41.62867349,55.395868,5.388778,298.51606
15:00.0,18.870024,85.477088,360.855,42.43872233,54.691184,5.387194,294.63202
20:00.0,18.751174,88.415856,546.26276,41.44457626,55.972528,5.387918,301.57534
25:00.0,19.283398,86.509952,510.4712,42.44182429,55.844504,5.388098,300.89562
30:00.0,18.898046,85.33036,418.33636,42.661121,55.52102,5.388366,299.16758
35:00.0,18.512152,87.39388,330.97882,40.73326852,54.648828,5.388726,294.48758
40:00.0,18.534856,87.66664,605.9372,40.05673114,56.54592,5.388366,304.69012
45:00.0,18.91808,85.913712,373.03448,41.54139957,55.475272,5.388638,298.93612
50:00.0,18.827316,85.461608,443.87952,42.13353434,55.806908,5.387735,300.6728
55:00.0,18.695096,85.606776,361.25324,40.63416065,55.219384,5.388458,297.5473
00:00.0,18.610962,85.427624,306.85522,39.49866043,54.776788,5.388638,295.17224
05:00.0,18.604308,84.855704,364.03924,39.04568823,55.22744,5.388546,297.59562
10:00.0,19.952702,82.738672,548.35736,40.34774058,56.8291,5.38956,306.28388
15:00.0,21.57446,85.215384,611.84264,42.56511763,57.573884,5.388483,310.23588
20:00.0,36.210708,85.301336,900.1596,58.31677644,81.457256,5.382405,438.43588
25:00.0,34.320024,80.178472,646.09228,53.21892258,77.836832,5.38347,419.0322
30:00.0,36.304452,83.520096,836.1044,61.04913683,82.695752,5.381319,445.0122
35:00.0,36.165628,77.402464,802.53064,63.79783826,82.225232,5.381591,442.50252
40:00.0,37.2397,76.533624,639.73132,57.16644415,80.705792,5.384477,434.55852
45:00.0,36.352096,80.307448,689.80872,60.36128644,83.064104,5.382942,447.12928
50:00.0,36.721856,78.417408,615.56348,58.98266924,75.814408,5.384658,408.2346
55:00.0,37.877656,78.141536,909.57232,63.16681918,80.316304,5.381045,432.18564
00:00.0,37.949988,74.51956,1413.0172,68.79746281,83.102656,5.379696,447.067
05:00.0,39.048644,75.53868,1517.1318,69.62091037,84.000432,5.378502,451.79644
10:00.0,39.082148,76.168608,951.31496,65.94833491,82.232824,5.380122,442.4226
15:00.0,35.46934,78.655448,694.53552,64.07754188,77.400568,5.378909,416.33056
20:00.0,38.399088,76.282368,1325.2976,68.62175642,82.913056,5.37876,445.96944
25:00.0,38.593256,75.1352,1330.4518,71.16674099,81.931272,5.378946,440.70388
30:00.0,38.39184,75.27304,1366.4098,69.76878498,83.327392,5.378675,448.19092
35:00.0,39.147684,77.791008,1479.2484,72.05937772,81.480344,5.379572,438.32936
40:00.0,21.205112,75.027088,359.36064,56.49301895,54.419608,5.384732,293.03498
45:00.0,35.002204,76.593272,542.71452,63.95564266,75.804448,5.378657,407.72612
50:00.0,19.32924,75.329248,295.87958,42.98558338,53.293692,5.38547,287.0116
55:00.0,38.220116,78.56704,1407.5694,62.51637779,86.678312,5.37721,466.08748
00:00.0,37.40022,78.35072,1349.9564,68.97217326,83.203512,5.378106,447.47732
05:00.0,34.927768,74.380264,564.76324,69.24995274,76.96804,5.378509,413.97328
10:00.0,34.398576,77.19848,478.89428,62.85141547,75.927728,5.378869,408.40532
15:00.0,21.911914,75.892,273.69724,44.23510861,56.405272,5.382157,303.582
20:00.0,36.40108,78.938728,694.92496,59.07039694,81.19532,5.377992,436.66776
25:00.0,22.485116,83.315096,321.77384,47.61998143,57.8357,5.381022,311.21518
30:00.0,23.972012,87.063528,313.41758,42.61446997,53.652564,5.38517,288.92816
35:00.0,19.883582,89.132272,395.88744,42.78520712,55.19394,5.38617,297.2839
40:00.0,17.867718,87.147016,303.99512,45.56344096,57.310304,5.382209,308.456
45:00.0,17.604688,88.438624,277.31208,47.85457152,60.365784,5.381037,324.83048
50:00.0,34.215028,89.405408,535.59264,59.44012503,84.60384,5.380548,455.215
55:00.0,19.832968,88.249424,289.92144,44.05330419,55.351624,5.387128,298.18628
00:00.0,19.811624,87.817144,218.95606,42.2077415,53.699188,5.387216,289.28912
05:00.0,19.45705,87.123592,151.78204,36.59517544,53.754152,5.38902,289.68218
10:00.0,19.455388,89.490272,98.83192,34.38122581,53.849936,5.390127,290.258
15:00.0,18.175226,97.81884,109.67684,32.79006858,53.469412,5.388235,288.10574
20:00.0,20.279226,104.72622,377.85536,32.26685878,59.3992,5.385093,319.87018
25:00.0,28.475134,110.27968,446.05556,49.36471096,87.086968,5.382348,468.73236
30:00.0,27.938586,111.90874,530.94128,55.28984069,87.812104,5.382694,472.66564
35:00.0,24.891304,110.58796,279.08118,49.42585979,76.2176,5.383036,410.28208
40:00.0,18.064294,108.32308,189.27902,37.79652734,55.247216,5.393054,297.9512
45:00.0,18.167364,108.04624,173.06918,36.25170923,54.81994,5.392874,295.637
50:00.0,17.1726,104.76606,118.35082,33.22366364,54.929772,5.394314,296.30842
55:00.0,17.33395,105.1973,72.020544,32.02563069,54.26882,5.393686,292.70896
00:00.0,18.437938,106.48718,52.620688,29.74832963,53.622292,5.396571,289.3765
05:00.0,18.021632,107.65138,43.128076,28.55064055,53.406564,5.395582,288.15948
10:00.0,15.750378,107.262,37.435472,26.47000306,53.024916,5.397829,286.21942
15:00.0,15.53092,109.18338,25.417038,24.91795728,52.725084,5.397289,284.5725
20:00.0,16.151712,111.86096,31.227348,25.78748596,53.60676,5.399705,289.46066
25:00.0,15.309098,112.78004,54.653556,28.33321308,53.915108,5.397996,291.03354
30:00.0,15.864284,113.2914,68.892256,29.22516124,54.202964,5.399505,292.66918
35:00.0,15.576324,113.28548,67.83556,29.08468194,54.178672,5.399057,292.5137
40:00.0,16.448148,113.73418,74.090584,28.76298438,54.26226,5.401119,293.07694
45:00.0,16.224146,115.72974,109.85384,29.06623956,54.088644,5.399591,292.05654
50:00.0,15.644316,116.79526,494.12152,34.01519696,61.333184,5.392651,330.74842
55:00.0,15.685936,116.78646,529.02632,35.780628,64.367088,5.391839,347.05696
00:00.0,28.701462,115.4864,605.3086,51.01899357,85.728344,5.391011,462.16248
05:00.0,16.975422,114.1144,270.73822,39.03785501,56.373956,5.399044,304.36548
10:00.0,17.344058,113.9876,279.79896,39.6517643,56.953728,5.399585,307.52646
15:00.0,16.986312,110.84306,206.95024,38.24681157,55.41726,5.397955,299.13984
